Approval?,Project Name,City,State,Project Preview Description,Char Count,Project Description,Char Count,Key Highlight,Char Count,Focus Area(s) (Dropdown),Area Type,Population Size (City),Population Data Year,Gini Coefficient,Testimonial,Testimonial Author,Testimonial Author Title/Role,Partner(s) ,Support Type(s),Status,Start Year,End Year,Maturity Level,Cover Image (URL(s)),Project Link (URL),Resources (URL(s)),Latitude,Longitude
Approved ,BlackRock Foundation,Union County,South Carolina,"The Union County initiative bridges the skills gap and drives socioeconomic change by investing in planning, infrastructure, and partnerships.",142,"The Union County initiative channels philanthropy into bridging the skills gap by strengthening the local pipeline from classrooms to careers. By investing in planning, infrastructure, and partnerships with institutions across county lines, this work aims to drive long-term socioeconomic change rooted in community leadership.",327,"The BlackRock Foundation chose to invest not just in programs, but in the infrastructure and vision of the community itself. By equipping local organizations with the capacity and resources for planning, they catalyzed the conditions for resilience and generational impact far beyond the grant window.",301,"Economic Mobility & Generational Wealthbuilding, Industry, Cradle to Career",Rural,"26,678",2024,0.46,,,,"BlackRock Foundation, Partners for Rural Impact, MycoWorks, Union County Schools, Spartanburg County Foundation, United Way of the Piedmont, Spartanburg Academic Movement",Strategic Co-investments,Active,2024,,,,https://learnwithsam.org/news/empowering-union-county-the-blackrock-foundation-sam-union-community-foundation-provide-rapid-resource-grants,,34.6612778,-81.6035062
Approved,George Kaiser Family Foundation,Tulsa,Oklahoma,"GKFF takes a neighborhood approach; listening, mapping, and tailoring strategies to build trust, capacity, and reflect Tulsa’s diverse communities.",147,"George Kaiser Family Foundation (GKFF) works neighborhood by neighborhood, listening to residents and mapping assets to meet specific needs. By tailoring strategies to zip codes, GKFF builds trust, strengthens community capacity, and ensures initiatives like cultural hubs and incubators celebrate lived experiences of Tulsa's diverse neighborhoods.",349,"GKFF takes a fundamentally different approach to philanthropy by committing to generations rather than grant cycles. Its investments are designed to address systemic barriers that create durable pathways to upward mobility. By tackling interlocking issues that range from education and workforce to build environment, and paired with a neighborhood-by-neighborhood strategy, GKFF centers their work around the goal of handing over the keys to residents so that communities themselves can lead and sustain lasting change.",520,"Economic Mobility & Generational Wealthbuilding, Housing, Community Leadership, Skills Training, Arts & Culture, Public Space","Urban, Suburban, Rural","1,059,800",2024,0.52,,,,"George Kaiser Family Foundation, Eastside Rise, Northside Neighbors, Growing Together Tulsa",,Active,1999,,,,https://www.gkff.org/pillars/strong-neighborhoods,,36.1551375,-95.989501
Approved ,EKY Runway Program,Pikeville,Kentucky,"SOAR’s EKY Runway Program helps Eastern Kentuckians overcome employment barriers, find purpose, and build lasting careers through a whole-human approach.",153,"SOAR’s EKY Runway Program helps Eastern Kentuckians overcome barriers to employment and discover purpose and dignity through meaningful work. By implementing a ""whole human"" approach, the program opens pathways to lasting careers.",230,"In its first year of existence, the EKY Runway has reengaged more than 80 individuals previously outside the workforce and navigated them back into employment. This has generated more than $2.5 million in new wages. The program is proving that with, the right supports, disadvantaged populations can return to work, find purpose through meaningful employment, and escape generational poverty.",392,"Skills Training, Economic Opportunity, Economic Mobility & Generational Wealthbuilding",Rural,"7,366",2024,0.449,,,,"Microsoft TechSpark, EKY Runway Program & SOAR, Volunteers of America Mid-States, Appalachian Regional Healthcare, Pikeville Medical Center, Commonwealth of Kentucky, U.S. Economic Development Administration",,Active,2025,,,,https://ekyrunway.com/,,37.479469,-82.519669
Approved,Annie E. Casey Foundation & South Atlanta ,Atlanta,Georgia,"South Atlanta’s long-term transformation blends community-led investment, generational support, and civic infrastructure to build resilient families.",149,"South Atlanta is transforming through long-term investment and community leadership. For 20+ years a two-generation approach has strengthened children’s development and parents’ economic stability. Civic projects, like Pittsburgh Yards, boost entrepreneurship and community spaces, with residents leading, engaging, and shaping sustainable change.",347,"The Annie E. Casey Foundation advances a two-generation place-based strategy in South Atlanta supporting children’s development and parents’ economic stability while investing in civic infrastructure through Pittsburgh Yards. This 31-acre redevelopment features the Nia Building, maker spaces, community greenspace, and pad-ready sites, all co-designed with residents and in support of the community. The new Container Courtyard of storefronts and studios adds new energy along the Atlanta BeltLine’s Southside Trail and showcases the creativity of local entrepreneurs.",569,"Cradle to Career, Economic Opportunity, Retail, Industry, Public Space, Arts & Culture, Economic Mobility & Generational Wealthbuilding, Community Leadership",Urban,"520,070",2024,0.56,,,,"Annie E. Casey Foundation, Pittsburgh Yards",,Active,2006,,,,https://www.aecf.org/resources/community-driven-development-at-pittsburgh-yards,,33.7501275,-84.3885209
Approved,City of Homes,Springfield,Massachusetts,"City of Homes turns vacant properties into affordable homes, tackling inequities and revitalizing disinvested neighborhoods.",124,"City of Homes is an affordable housing initiative redeveloping vacant and blighted properties into affordable homes. Supported by cross-sector partners, the program’s supporters adjusted the attorney receivership model, enabling nonprofit property acquisitions, addressing inequities in homeownership and stabilizing long-disinvested neighborhoods.",348,"City of Homes introduces a new tool in the affordable housing landscape by blending philanthropy, public investment, local government support, and legal innovation. Not only does the initiative expand access to homeownership for communities of color historically shut out of the market, it also demonstrates how redevelopment of vacant properties can create generational wealth and build long-term neighborhood stability. Recognition through the 2024 Massachusetts Bond Bill and the Gateway Cities Innovator Award underscores City of Homes’ potential as a replicable model.",573,"Economic Mobility & Generational Wealthbuilding, Housing",Urban,"152,600",2025, ,"“We are thrilled that MassMutual Foundation is supporting the expansion of this initiative,” says Keith Fairey, President and CEO of Way Finders. “When we take long-neglected properties, renovate them, and offer them at affordable prices, we accomplish three important goals. We bring housing back onto the tax rolls. We improve property values in Springfield neighborhoods. And we help local families build the kind of generational wealth through homeownership that many have been excluded from.”",Keith Fairey,"President and CEO, Way Finders","MassMutual Foundation, Way Finders",,Active,2022,,,,https://www.wayfinders.org/about/real-estate-development/city-of-homes/,,42.1013104,-72.5892742
Approved,Union Capital,Springfield,Massachusetts,"Union Capital proves that investing in social capital can transform communities, rewarding civic engagement and connecting residents to vital resources.",152,"Union Capital redefines community building by showing that investing in social capital can be as transformative as investing in physical infrastructure. By providing invitations, incentives, and connections to information, one can overcome barriers to engaging with their community and access critical resources for prosperity. ",328,"Union Capital’s model builds power by valuing and rewarding the everyday ways residents already strengthen their communities. By converting civic participation into tangible recognition and resources, it transforms social connections into a durable form of capital. This approach makes social networks a lever for resilience and mobility, and it stands out as a distinctive strategy in the community development landscape. The program's expansion into Springfield, positions Springfield as a model for how targeted philanthropy can help fuel long-term community resilience and economic mobility.",595,"Economic Mobility & Generational Wealthbuilding, Community Leadership",Urban,"152,600",2025,0.4783,,,,MassMutual Foundation,,Active,2023,,,,https://unioncapital.org/,,42.1013104,-72.5892742
Approved,The Economic Justice Hub,Boston,Massachusetts,"BMC’s Economic Justice Hub boosts Boston families’ financial health through coaching, benefits support, job pathways, and research on benefit cliffs.",149,"The Economic Justice Hub at Boston Medical Center (BMC) strengthens the financial health of families in Boston who are served through its pediatric care system. Building on the success of BMC’s StreetCred program, the Hub provides financial coaching, benefits navigation, and job pathway support. ",297,"The Economic Justice Hub shows how wealth and health are deeply intertwined, with economic inequities at the root of many health disparities. By embedding financial resources, workforce pathways, and policy research into clinical care, Boston Medical Center is addressing the structural drivers of poor health outcomes and advancing a place-based model that connects economic mobility and healthcare. It also advances policy research focused on the cliff effect, which is the sudden loss of public benefits that can occur when household income increases.",554,"Economic Mobility & Generational Wealthbuilding, Economic Opportunity",Urban,"673,458",2024,0.44,,,,"MassMutual Foundation, Boston Medical Center",,Active,2023,,,,https://development.bmc.org/why-give/stories/bmc-receives-3-million-gift-to-create-economic-justice-hub/,,42.360081,71.058884
Approved,NeighborShare,Springfield,Massachusetts,"NeighborShare connects donors to verified local needs; its Springfield pilot delivers fast, transparent aid for everyday emergencies.",133,"NeighborShare is a direct-giving platform connecting donors to neighbors with identified needs, and validated by trusted nonprofits across the country. This model provides fast, transparent support for those facing emergencies like childcare, medical bills, or car repairs, preventing small setbacks from becoming larger crises. 
",330,"What makes NeighborShare unique is its ability to transform micro-level giving into systemic resilience. By pairing immediacy and transparency with nonprofit validation, it turns one-time acts of generosity into a trusted safety net that strengthens both households and the community as a whole. Building on lessons from Springfield, the MassMutual Foundation supported NeighborShare’s expansion to Boston, embedding the peer-to-peer giving approach more broadly across the state. ",481,"Community Leadership, Care Support Systems",Urban,"152,600",2025,0.4783,,,,"MassMutual Foundation, NeighborShare",,Active,2020,,,,https://nbshare.org/,,42.1013104,-72.5892742
Approved ,The Delta Philanthropy Forum,Pine Bluff,Arkansas,The Delta Philanthropy Forum unites cross-sector stakeholders to addresses poverty in the Delta Region through collaboration and community voice.,145,"The Delta Philanthropy Forum (DPF) unites philanthropies, CDFIs, and investors to address persistent poverty in the Arkansas–Mississippi Delta by pooling resources and elevating community voices.",195,"The Delta Philanthropy Forum has raised awareness of the region’s severe underfunding, built cross-sector coalitions on capacity building, education and economic mobility. Through convenings that amplify emerging leaders and community-driven strategies, DPF is working with the community to shift the Delta to a more coordinated and opportunity-focused region.",360,"Economic Opportunity, Economic Mobility & Generational Wealthbuilding",Rural,,,,,,,"Arkansas Impact Philanthropy, Arkansas Community foundation, Carl B. & Florence E. King Foundation, University of Arkansas, Community Foundation of Northwest Mississippi, Washington County Economic Alliance, Derek Lewis Foundation, Foundation for the Mid South, Mississippi Alliance of Nonprofits and Philanthropy, Walton Family Foundation, Winthrop Rockefeller Foundation, WKKF, WHEF, Clinton School Center of Community Philanthropy, Philanthropy Southeast",,Active,2018,,,,https://www.deltaphilanthropy.org/,,34.221588,-92.001999
Approved,The Delta Philanthropy Forum,Clarksdale,Mississippi,The Delta Philanthropy Forum unites cross-sector stakeholders to addresses poverty in the Delta Region through collaboration and community voice.,145,"The Delta Philanthropy Forum (DPF) unites philanthropies, CDFIs, and investors to address persistent poverty in the Arkansas–Mississippi Delta by pooling resources and elevating community voices.",195,"The Delta Philanthropy Forum has raised awareness of the region’s severe underfunding, built cross-sector coalitions on capacity building, education and economic mobility. Through convenings that amplify emerging leaders and community-driven strategies, DPF is working with the community to shift the Delta to a more coordinated and opportunity-focused region.",360,"Economic Opportunity, Economic Mobility & Generational Wealthbuilding",Rural,,,,,,,"Arkansas Impact Philanthropy, Arkansas Community foundation, Carl B. & Florence E. King Foundation, University of Arkansas, Community Foundation of Northwest Mississippi, Washington County Economic Alliance, Derek Lewis Foundation, Foundation for the Mid South, Mississippi Alliance of Nonprofits and Philanthropy, Walton Family Foundation, Winthrop Rockefeller Foundation, WKKF, WHEF, Clinton School Center of Community Philanthropy, Philanthropy Southeast",,Active,2018,,,,https://www.deltaphilanthropy.org/,,33.973679,-90.768173
